url,title,contact_email,source,scraped_at
https://slce.uic.edu/events/uic-day-of-service-2-2/,Day of Service Pre-Meeting and Social | Student Leadership and ...,slce@uic.edu,service_learning_civic_engagement_agent,1764854430
https://www.marquette.edu/new-student-orientation/ostaff.php,"SPARK & Orientation Staff // New Student, Transfer Student and ...",newstudentprogs@marquette.edu,summer_bridge_orientation_agent,1764855031
https://youfirst.vcu.edu/students/programs-and-initiatives/men-of-color-initiatives/,Men of Color Initiatives - You First - Virginia Commonwealth University,youfirst@vcu.edu,men_of_color_initiative_agent,1764853520
https://www.murraystate.edu/recruitment/hslc.aspx,High School Leadership Summit | HSLS | Murray State,msu.admissions@murraystate.edu,leadership_summit_agent,1764871256
https://www.enmu.edu/about/news-and-events/enmu-news/general-news/2498-enmu-multicultural-affairs-members-attend-national-student-leadership-diversity-convention,ENMU Multicultural Affairs Members Attend National Student ...,juchao.yan@enmu.edu,multicultural_center_leadership_agent,1764854129
https://calendar.agnesscott.edu/event/student-leadership-conference,Student Leadership Conference - Agnes Scott College Calendar,mark@amphibianfoundation.org,multicultural_center_leadership_agent,1764854121
https://multicultural.web.baylor.edu/meetstaff,Meet Our Staff | Multicultural Affairs | Baylor University,geoffrey_griggs@baylor.edu,multicultural_center_leadership_agent,1764854131
https://sc.edu/about/offices_and_divisions/leadership_and_service_center/service_opportunities/service_learning/,Service-Learning - Leadership and Service Center | University of ...,cte@sc.edu,service_learning_civic_engagement_agent,1764854418
https://today.uic.edu/events/martin-luther-king-jr-student-leadership-conference/,Martin Luther King Jr. Student Leadership Conference | UIC today,uictoday@uic.edu,multicultural_center_leadership_agent,1764854124
https://www.wvhepc.edu/tag/first-generation-student-success-conference/,First-Generation Student Success Conference Archives - West ...,briana.warner@wvhepc.edu,first_gen_student_success_agent,1764810197
https://source.colostate.edu/csu-earns-distinction-as-national-leader-in-advancing-first-gen-student-success/,CSU earns distinction as national leader in advancing first-gen ...,36d2cd72.colostate.edu@amer.teams.ms,first_gen_student_success_agent,1764810203
https://www.csun.edu/nso/orientation-leaders,Orientation Leaders | CSU Northridge,nso.leader@gmail.com,summer_bridge_orientation_agent,1764855030
https://students.umw.edu/studentactivities/summit/,UMW Student Leadership Summit - Office of Student Activities and ...,ssutphin@umw.edu,leadership_summit_agent,1764871256
https://www.worcester.edu/campus-life/student-services/multicultural-affairs/brotherhood-and-sisterhood-leadership-conference/,Brotherhood & Sisterhood Leadership Conference | Worcester State ...,MulticulturalAffairs@worcester.edu,multicultural_center_leadership_agent,1764854130
https://www.linnbenton.edu/current-students/iedi/index.php,"Institutional Equity, Diversity & Inclusion | LBCC",equitycenter@linnbenton.edu,multicultural_center_leadership_agent,1764854123
https://csumb.edu/service/service-leadership-students/student-leadership-service-learning-program-were-hiring/,Student Leadership in Service Learning (SL2) Program | California ...,cmacias@csumb.edu,service_learning_civic_engagement_agent,1764854417
https://www.cpcc.edu/admissions/outreach-and-recruitment/summer-bridge,Summer Bridge | Central Piedmont,timothy.graham@cpcc.edu,summer_bridge_orientation_agent,1764855027
https://slce.uic.edu/,Student Leadership and Civic Engagement | University of Illinois ...,slce@uic.edu,service_learning_civic_engagement_agent,1764854423
https://www.uu.edu/studentlife/orientation/welcome-week-leaders.cfm,New Student Orientation and Welcome Week Leaders | New ...,admissions@uu.edu,summer_bridge_orientation_agent,1764855042
https://scholarworks.wmich.edu/cgi/viewcontent.cgi?article=1327&context=dissertations,The Impact of Leadership Training on Collegiate Student Athletes,wmu-scholarworks@wmich.edu,student_athlete_leadership_agent,1764853231
https://www.northampton.edu/events/2024/11/student-leadership-summit-keynote-speaker-networking-lunch-with-ncc-alumni.html,Student Leadership Summit - Keynote Speaker & Networking Lunch ...,studentlife@northampton.edu,leadership_summit_agent,1764871257
https://news.clemson.edu/clemson-to-host-leadership-week-culminating-in-the-women-in-leadership-conference-on-saturday-march-2/,"Clemson to host Leadership Week, culminating in the Women in ...",news@clemson.edu,summer_bridge_orientation_agent,1764855035
https://www.monmouth.edu/news/profs-bobbitt-and-pulliam-present-at-naspa-first-generation-student-success-conference/,Profs. Bobbitt and Pulliam Present at NASPA First-Generation ...,finaid@monmouth.edu,first_gen_student_success_agent,1764810197
https://www.ccd.edu/calendar/event/110725/women-gender-equity-leadership-summit,Women & Gender Equity in Leadership Summit | Community ...,service@studentclearinghouse.org,leadership_summit_agent,1764871263
https://diversity.uic.edu/news-stories/students-attend-martin-luther-king-jr-student-leadership-conference/,Students attend Martin Luther King Jr. Student Leadership Conference,diversity@uic.edu,multicultural_center_leadership_agent,1764854123
https://news.syr.edu/2024/02/20/men-of-color-initiative-a-brotherhood-that-lifts-up-supports-its-members/,"Men of Color Initiative: A Brotherhood That Lifts Up, Supports Its ...",media@syr.edu,men_of_color_initiative_agent,1764853519
https://www.wvhepc.edu/news/west-virginia-higher-education-community-convenes-to-focus-on-first-generation-student-success/,West Virginia higher education community convenes to focus on first ...,chancellor@wvhepc.edu,first_gen_student_success_agent,1764810195
https://www.bgsu.edu/marvin-center.html,C. Raymond Marvin Center for Student Leadership and Civic ...,marvincenter@bgsu.edu,service_learning_civic_engagement_agent,1764854426
https://www.uis.edu/diversitycenter/programs-and-initiatives/men-color-initiative,Men of Color Initiative | University of Illinois Springfield,admissions@uis.edu,men_of_color_initiative_agent,1764853520
https://slce.uic.edu/events/mlk-day-of-service/,MLK Day of Service | Student Leadership and Civic Engagement ...,slce@uic.edu,service_learning_civic_engagement_agent,1764854431
https://firstgen.uiowa.edu/1stgen-initiative,1stGen@Iowa Initiative | First-Gen Student Success - The University ...,angela-lamb@uiowa.edu,first_gen_student_success_agent,1764810203
https://news.fiu.edu/2025/fiu-named-a-champion-among-universities-nationwide-for-first-generation-student-success,FIU named a champion among universities nationwide for first ...,news@fiu.edu,first_gen_student_success_agent,1764810204
https://undergraduates.utexas.edu/first-year-experience/transfer-year-experience-program/transfer-student-leadership-summit,Transfer Student Leadership Summit | Academic Programs for ...,provost.office@utexas.edu,leadership_summit_agent,1764871256
https://www.compton.edu/about/presidentceo/docs/Men-of-Color-Recommendations-to-President.pdf,Men of Color Workgroup Recommendation – Brotherhood of Success,admissions@compton.edu,men_of_color_initiative_agent,1764853522
https://stark.ucsd.edu/public/sendy/l/FautuPCQUrx763k2OR9o45iQ/sEYqE3V2FiKln9fU21MEQQ/3ph8p2lKIYXej892FZAfIjIQ,FirstGen Forward: Home,LCOServiceRequests@dir.ca.gov,first_gen_student_success_agent,1764810201
https://calendar.fiu.edu/event/fiu-student-leadership-summit,FIU Student Leadership Summit | FIU Calendar,accommodations@fiu.edu,leadership_summit_agent,1764871257
https://www.fau.edu/newsdesk/articles/ilead-2017.php,FAU Hosts 10th Annual iLead Student Leadership Conference ... - FAU,admissions@fau.edu,service_learning_civic_engagement_agent,1764854422
https://www.buffalo.edu/eop/current/leadership-development.html,EOP Student Leadership Positions - Arthur O. Eve Educational ...,iss@buffalo.edu,summer_bridge_orientation_agent,1764855028
https://www.unomaha.edu/office-of-student-leadership-and-involvement/resources/summer-bridge-programs.php,College Programs | Student Leadership and Involvement | University ...,unoslicollegeprograms@unomaha.edu,summer_bridge_orientation_agent,1764855026
https://undergrad.umn.edu/sites/undergrad.umn.edu/files/2020-06/mssc_final_report_august_2019_1.pdf,Multicultural Student Success Committee,oue@umn.edu,multicultural_center_leadership_agent,1764854118
https://www.memphis.edu/firstgen/,Office of First Generation Student Success - First Generation Student ...,firstgen@memphis.edu,first_gen_student_success_agent,1764810203
https://www.compton.edu/about/officesandservices/human-resources/Student%20Activities%20Coordinator_.pdf,Student Activities Coordinator | Compton College,admissions@compton.edu,hs_student_council_leadership_agent,1764854713
https://www.brandeis.edu/first-year-experience/orientation/preorientation-programs.html,August Pre-Orientation Programs | New Student Orientation ...,admissions@brandeis.edu,summer_bridge_orientation_agent,1764855031
https://voorhees.edu/wp-content/uploads/2023/04/Fall-2022-Welcome-Week-Guide-August-6-1432.pdf,New & Transfer Students Welcome Week | Voorhees University,r@7.re,summer_bridge_orientation_agent,1764855041
https://pharmacy.tamu.edu/the-deans-report-2018.pdf,Untitled,WX4@Q5.kP,hs_student_council_leadership_agent,1764854729
https://www.longwood.edu/leadership-development/,Leadership Development - Longwood University,goodineqa@longwood.edu,multicultural_center_leadership_agent,1764854130
https://www.waynecc.edu/events/juneteenth-leadership-summit/,Juneteenth Leadership Summit - Wayne Community College ...,wcc-admissions@waynecc.edu,leadership_summit_agent,1764871261
https://www.commonwealthu.edu/offices-directory/multicultural-affairs,Multicultural Affairs | Commonwealth University,mrodrig2@bloomu.edu,multicultural_center_leadership_agent,1764854114
https://www.weber.edu/wsuimages/sas-assessment/Program%20Review/DavisSelfStudyFinalnoappendix.pdf,Weber State University Davis Campus Student Programs & Services ...,admissions@weber.edu,hs_student_council_leadership_agent,1764854716
https://my.snc.edu/studentengagement/welcome-week/,Welcome Week - Center for Student Engagement | St. Norbert College,bookstore@snc.edu,summer_bridge_orientation_agent,1764855039
https://events.uri.edu/group/multicultural_unity_and_student_involvement_council_music,Multicultural Unity and Student Involvement Council - University of ...,urievents@etal.uri.edu,multicultural_center_leadership_agent,1764854113
https://loras.edu/news/rivals-unite-through-leadership-conference/,Rivals Unite Through Leadership Conference | Campus News ...,info@loras.edu,student_athlete_leadership_agent,1764853243
https://magazine.hope.edu/wp-content/uploads/2016/11/2012-NfHC-Aug.pdf,August 2012,bob@bobhandelman.com,student_athlete_leadership_agent,1764853239
https://www.nova.edu/student-leadership/index.html,Student Leadership and Civic Engagement | Nova Southeastern ...,studentleadership@nova.edu,service_learning_civic_engagement_agent,1764854424
https://springfield.edu/springfield-stories/academic-stories/stepping-leadership-reflections-miaa-student-athlete,Stepping into Leadership: Reflections on the MIAA Student-Athlete,jkochanek@springfield.edu,student_athlete_leadership_agent,1764853242
https://experience.syracuse.edu/new-students/be-involved/student-leadership/,Student Leadership - New Student Programs – Syracuse University,newtosu@syr.edu,summer_bridge_orientation_agent,1764855031
https://www.csulb.edu/student-affairs/mens-success-initiative,Men's Success Initiative | California State University Long Beach,noah.gordon@csulb.edu,men_of_color_initiative_agent,1764853523
https://www.clemson.edu/studentaffairs/get-involved/csle/current-students/leadership-and-services/leadership-week.html,About Leadership Week | CSLE | Division of Student Affairs ...,cspellm@clemson.edu,service_learning_civic_engagement_agent,1764854430
https://newsroom.unl.edu/announce/rso/7121/40221,Indigenous People's Day Taco Sale | Announce | University of ...,wgerena2@unl.edu,multicultural_center_leadership_agent,1764854119
https://springfield.edu/academics/experiential-learning/academics,Academic Enrichment | Springfield College,scdining@springfieldcollege.edu,student_athlete_leadership_agent,1764853243
https://scc.losrios.edu/student-resources/cultural-engagement-centers/raza-center/raza-summer-bridge-registration,RAZA Summer Bridge Registration | Sacramento City College,Benitea@scc.losrios.edu,summer_bridge_orientation_agent,1764855029
https://youfirst.vcu.edu/students/programs-and-initiatives/men-of-color-initiatives/developing-men-of-color-dmc-student-organization-/,Developing Men of Color (DMC): student organization - You First ...,youfirst@vcu.edu,men_of_color_initiative_agent,1764853521
https://www.marquette.edu/new-student-orientation/,"New Student, Transfer Student and Family Orientation // Marquette ...",newstudentprogs@marquette.edu,summer_bridge_orientation_agent,1764855030
https://today.uic.edu/honor-mlks-legacy-with-service-leadership/,"Honor MLK's legacy with service, leadership | UIC today",slce@uic.edu,service_learning_civic_engagement_agent,1764854431
https://www.wcupa.edu/_services/STU/office-of-student-engagement/summit.aspx,2025 Student Leadership Summit - WCU of PA,CROGERS@wcupa.edu,leadership_summit_agent,1764871256
https://athletics.une.edu/news/2008/4/8/leadership_conference.aspx,"Meza, Tarr chosen for NCAA Leadership Conference - University of ...",une.gymnastics@gmail.com,student_athlete_leadership_agent,1764853245
https://athletics.tri-c.edu/general/2023-24/releases/20231205jgjxr8,Tri-C Hosts OCCAC Student-Athlete Leadership Conference ...,web@prestosports.com,student_athlete_leadership_agent,1764853241
https://dasa.fiu.edu/all-departments/leadership-and-service/develop-leadership-skills/student-leadership-summit/,Student Leadership Summit | FIU Division of Student Affairs,vpdsa@fiu.edu,leadership_summit_agent,1764871253
https://www.sa.ucsb.edu/docs/default-source/default-document-library/mramirezstapleton.pdf?sfvrsn=488f724f_2,Untitled,mayamoore@ucsb.edu,multicultural_center_leadership_agent,1764854117
https://www.iit.edu/events/welcome-week-student-leadership-conference-living-dream-illinois-techcricket-rec-sports-and,Welcome Week-Student Leadership Conference: Living The Dream ...,admission@illinoistech.edu,summer_bridge_orientation_agent,1764855033
